Name;IdName;FolderName;Type;ViewMode;RWin;DataOrg;bReciprocal;bSigned;bDelta;bPercent;bOriginal;bOriginalValues;Columns;Rows;Radix;Comment;Precision;SkipBytes;LineSkipBytes;Fieldvalues.Name;Fieldvalues.Unit;Fieldvalues.Factor;Fieldvalues.Offset;Fieldvalues.StartAddr;AxisX.Name;AxisX.IdName;AxisX.Unit;AxisX.Factor;AxisX.Offset;AxisX.Radix;AxisX.bBackwards;AxisX.bReciprocal;AxisX.bSigned;AxisX.Precision;AxisX.DataSrc;AxisX.DataHeader;AxisX.DataAddr;AxisX.DataOrg;AxisX.SignatureByte;AxisX.SkipBytes;AxisY.Name;AxisY.IdName;AxisY.Unit;AxisY.Factor;AxisY.Offset;AxisY.Radix;AxisY.bBackwards;AxisY.bReciprocal;AxisY.bSigned;AxisY.Precision;AxisY.DataSrc;AxisY.DataHeader;AxisY.DataAddr;AxisY.DataOrg;AxisY.SignatureByte;AxisY.SkipBytes
c_cal_dummy_u8_9;c_cal_dummy_u8_9;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$19333D;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s8_0;c_cal_dummy_s8_0;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932EC;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s8_1;c_cal_dummy_s8_1;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932ED;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s8_2;c_cal_dummy_s8_2;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932EE;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s8_3;c_cal_dummy_s8_3;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932EF;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s8_4;c_cal_dummy_s8_4;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932F0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s8_5;c_cal_dummy_s8_5;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932F1;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s8_6;c_cal_dummy_s8_6;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932F2;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s8_7;c_cal_dummy_s8_7;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932F3;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s8_8;c_cal_dummy_s8_8;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932F4;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s8_9;c_cal_dummy_s8_9;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932F5;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u8_0;c_cal_dummy_u8_0;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193334;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u16_1;c_cal_dummy_u16_1;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932F8;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u16_2;c_cal_dummy_u16_2;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932FA;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u16_3;c_cal_dummy_u16_3;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932FC;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u16_4;c_cal_dummy_u16_4;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932FE;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u16_5;c_cal_dummy_u16_5;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193300;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u16_6;c_cal_dummy_u16_6;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193302;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u16_7;c_cal_dummy_u16_7;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193304;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u16_8;c_cal_dummy_u16_8;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193306;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u16_9;c_cal_dummy_u16_9;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193308;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s16_0;c_cal_dummy_s16_0;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932B0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s16_1;c_cal_dummy_s16_1;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932B2;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s16_2;c_cal_dummy_s16_2;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932B4;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s16_3;c_cal_dummy_s16_3;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932B6;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s16_4;c_cal_dummy_s16_4;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932B8;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s16_5;c_cal_dummy_s16_5;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932BA;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s16_6;c_cal_dummy_s16_6;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932BC;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s16_7;c_cal_dummy_s16_7;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932BE;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s16_8;c_cal_dummy_s16_8;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932C0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s16_9;c_cal_dummy_s16_9;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932C2;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u16_0;c_cal_dummy_u16_0;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932F6;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u32_1;c_cal_dummy_u32_1;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193310;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u32_2;c_cal_dummy_u32_2;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193314;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u32_3;c_cal_dummy_u32_3;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193318;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u32_4;c_cal_dummy_u32_4;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$19331C;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u32_5;c_cal_dummy_u32_5;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193320;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u32_6;c_cal_dummy_u32_6;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193324;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u32_7;c_cal_dummy_u32_7;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193328;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u32_8;c_cal_dummy_u32_8;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$19332C;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u32_9;c_cal_dummy_u32_9;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193330;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_u32_0;c_cal_dummy_u32_0;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$19330C;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s32_0;c_cal_dummy_s32_0;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932C4;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s32_1;c_cal_dummy_s32_1;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932C8;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s32_2;c_cal_dummy_s32_2;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932CC;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s32_3;c_cal_dummy_s32_3;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932D0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s32_4;c_cal_dummy_s32_4;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932D4;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s32_5;c_cal_dummy_s32_5;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932D8;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s32_6;c_cal_dummy_s32_6;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932DC;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s32_7;c_cal_dummy_s32_7;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932E0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s32_8;c_cal_dummy_s32_8;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932E4;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
c_cal_dummy_s32_9;c_cal_dummy_s32_9;C_Z_CAL_Dummy: ""C_Z_CAL_Dummy"";eEinzel;eViewText;eBars;eHiLoHiLo;0;1;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$1932E8;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
Switch to enable driver request limitation for drive-off;lc_drof_at_ena;TQM_Driver_Request_Limitation: ""Driver_Request_Limitation"";eEinzel;eViewText;eBars;eByte;0;0;0;0;0;0;1;1;10;;3;0;0;;-;1;-0;$193ABD;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0;-;;-;1;0;16;1;0;0;0;eDataSrcNone;0;$0;eByte;0x-1;0
